survey,ageGroup,measure,value,index
2,5,0,113,1
2,6,0,106,1
2,7,0,100,1
2,8,0,482,1
2,1,1,6,1
2,2,1,6,1
2,3,1,2,1
2,4,1,21,1
2,5,1,43,1
2,6,1,58,1
2,7,1,66,1
2,8,1,386,1
2,1,3,4,1
2,2,3,3,1
2,3,3,1,1
2,4,3,13,1
2,5,3,27,1
2,6,3,41,1
2,7,3,48,1
2,8,3,217,1
2,1,6,6,1
2,2,6,6,1
2,3,6,3,1
2,4,6,24,1
2,5,6,62,1
2,6,6,90,1
2,7,6,111,1
2,8,6,907,1
2,1,8,4,1
2,2,8,3,1
2,3,8,1,1
2,4,8,15,1
2,5,8,42,1
2,6,8,63,1
2,7,8,67,1
2,8,8,412,1
2,1,11,0,1
2,2,11,2,1
2,3,11,3,1
2,4,11,5,1
2,5,11,13,1
2,6,11,8,1
2,7,11,9,1
2,8,11,6,1
2,1,12,0,1
2,2,12,0,1
2,3,12,0,1
2,4,12,0,1
2,5,12,0,1
2,6,12,0,1
2,7,12,0,1
2,8,12,0,1
2,1,13,0,1
2,2,13,0,1
2,3,13,1,1
2,4,13,0,1
2,5,13,0,1
2,6,13,0,1
2,7,13,0,1
2,8,13,0,1
2,1,14,3,1
2,2,14,3,1
2,3,14,4,1
2,4,14,10,1
2,5,14,19,1
2,6,14,23,1
2,7,14,18,1
2,8,14,37,1
2,1,15,0,1
2,2,15,0,1
2,3,15,1,1
2,4,15,2,1
2,5,15,0,1
2,6,15,0,1
2,7,15,0,1
2,8,15,0,1
2,1,16,0,1
2,2,16,0,1
2,3,16,0,1
2,4,16,0,1
2,5,16,0,1
2,6,16,0,1
2,7,16,0,1
2,8,16,0,1
2,1,18,0,1
2,2,18,0,1
2,3,18,0,1
2,4,18,1,1
2,5,18,0,1
2,6,18,0,1
2,7,18,0,1
2,8,18,0,1
2,1,19,0,1
2,2,19,0,1
2,3,19,0,1
2,4,19,0,1
2,5,19,0,1
2,6,19,0,1
2,7,19,0,1
2,8,19,0,1
2,0,35,0.0684932,1
2,0,36,0.0598905,1
2,1,74,0,1
2,2,74,0,1
2,3,74,0.0986284,1
2,4,74,0,1
2,5,74,0,1
2,6,74,0,1
2,7,74,0,1
2,8,74,0,1
2,1,76,0.0268132,1
2,2,76,0.0178039,1
2,3,76,0.00940993,1
2,4,76,0.0164681,1
2,5,76,0.0110674,1
2,6,76,0.0061155,1
2,7,76,0.00339933,1
2,8,76,0.00360867,1
2,1,78,0.133437,1
2,2,78,0.112835,1
2,3,78,0.0722315,1
2,4,78,0.18555,1
2,5,78,0.0976963,1
2,6,78,0.0702456,1
2,7,78,0.0331866,1
2,8,78,0.0245096,1
3,1,0,30,1
3,2,0,15,1
3,3,0,31,1
3,4,0,69,1
3,5,0,123,1
3,6,0,108,1
3,7,0,103,1
3,8,0,483,1
3,1,1,3,1
3,2,1,6,1
3,3,1,4,1
3,4,1,16,1
3,5,1,44,1
3,6,1,61,1
3,7,1,64,1
3,8,1,396,1
3,1,3,2,1
3,2,3,4,1
3,3,3,3,1
3,4,3,10,1
3,5,3,30,1
3,6,3,42,1
3,7,3,45,1
3,8,3,231,1
3,1,6,3,1
3,2,6,7,1
3,3,6,4,1
3,4,6,18,1
3,5,6,63,1
3,6,6,96,1
3,7,6,109,1
3,8,6,908,1
3,1,8,2,1
3,2,8,4,1
3,3,8,3,1
3,4,8,11,1
3,5,8,43,1
3,6,8,61,1
3,7,8,62,1
3,8,8,428,1
3,1,11,0,1
3,2,11,1,1
3,3,11,3,1
3,4,11,11,1
3,5,11,4,1
3,6,11,5,1
3,7,11,8,1
3,8,11,5,1
3,1,12,0,1
3,2,12,0,1
3,3,12,0,1
3,4,12,0,1
3,5,12,0,1
3,6,12,0,1
3,7,12,0,1
3,8,12,0,1
3,1,13,0,1
3,2,13,0,1
3,3,13,0,1
3,4,13,1,1
3,5,13,0,1
3,6,13,0,1
3,7,13,0,1
3,8,13,0,1
3,1,14,1,1
3,2,14,4,1
3,3,14,5,1
3,4,14,15,1
3,5,14,15,1
3,6,14,16,1
3,7,14,14,1
3,8,14,27,1
3,1,15,0,1
3,2,15,0,1
3,3,15,0,1
3,4,15,0,1
3,5,15,0,1
3,6,15,0,1
3,7,15,0,1
3,8,15,0,1
3,1,16,0,1
3,2,16,0,1
3,3,16,0,1
3,4,16,0,1
3,5,16,0,1
3,6,16,0,1
3,7,16,0,1
3,8,16,0,1
3,1,18,1,1
3,2,18,0,1
3,3,18,0,1
3,4,18,0,1
3,5,18,0,1
3,6,18,0,1
3,7,18,0,1
3,8,18,0,1
3,1,19,0,1
3,2,19,0,1
3,3,19,0,1
3,4,19,0,1
3,5,19,0,1
3,6,19,0,1
3,7,19,0,1
3,8,19,0,1
3,0,35,0.0684932,1
3,0,36,0.0616445,1
3,1,74,0,1
3,2,74,0,1
3,3,74,0,1
3,4,74,0.137687,1
3,5,74,0,1
3,6,74,0,1
3,7,74,0,1
3,8,74,0,1
3,1,76,0.00909257,1
3,2,76,0.0216991,1
3,3,76,0.0155056,1
3,4,76,0.0258165,1
3,5,76,0.0091783,1
3,6,76,0.00568956,1
3,7,76,0.00208504,1
3,8,76,0.00281759,1
3,1,78,0.0457694,1
3,2,78,0.123104,1
3,3,78,0.156169,1
3,4,78,0.340101,1
3,5,78,0.0989815,1
3,6,78,0.0694126,1
3,7,78,0.018179,1
3,8,78,0.0179101,1
4,1,0,28,1
4,2,0,13,1
4,3,0,34,1
4,4,0,76,1
4,5,0,122,1
4,6,0,105,1
4,7,0,104,1
4,8,0,477,1
4,1,1,7,1
4,2,1,3,1
4,3,1,3,1
4,4,1,19,1
4,5,1,49,1
4,6,1,59,1
4,7,1,63,1
4,8,1,395,1
4,1,3,4,1
4,2,3,2,1
4,3,3,3,1
4,4,3,12,1
4,5,3,29,1
4,6,3,44,1
4,7,3,44,1
4,8,3,218,1
4,1,6,7,1
4,2,6,3,1
4,3,6,3,1
4,4,6,22,1
4,5,6,67,1
4,6,6,85,1
4,7,6,102,1
4,8,6,894,1
4,1,8,4,1
4,2,8,2,1
4,3,8,3,1
4,4,8,13,1
4,5,8,41,1
4,6,8,60,1
4,7,8,59,1
4,8,8,421,1
4,1,11,0,1
4,2,11,2,1
4,3,11,2,1
4,4,11,5,1
4,5,11,5,1
4,6,11,8,1
4,7,11,6,1
4,8,11,12,1
4,1,12,0,1
4,2,12,0,1
4,3,12,0,1
4,4,12,1,1
4,5,12,0,1
4,6,12,0,1
4,7,12,0,1
4,8,12,0,1
4,1,13,0,1
4,2,13,0,1
4,3,13,0,1
4,4,13,0,1
4,5,13,0,1
4,6,13,0,1
4,7,13,0,1
4,8,13,0,1
4,1,14,1,1
4,2,14,2,1
4,3,14,3,1
4,4,14,11,1
4,5,14,17,1
4,6,14,18,1
4,7,14,18,1
4,8,14,33,1
4,1,15,0,1
4,2,15,0,1
4,3,15,0,1
4,4,15,0,1
4,5,15,0,1
4,6,15,0,1
4,7,15,0,1
4,8,15,0,1
4,1,16,0,1
4,2,16,0,1
4,3,16,0,1
4,4,16,0,1
4,5,16,0,1
4,6,16,0,1
4,7,16,0,1
4,8,16,0,1
4,1,18,0,1
4,2,18,0,1
4,3,18,0,1
4,4,18,0,1
4,5,18,0,1
4,6,18,0,1
4,7,18,0,1
4,8,18,0,1
4,1,19,0,1
4,2,19,0,1
4,3,19,0,1
4,4,19,0,1
4,5,19,0,1
4,6,19,0,1
4,7,19,0,1
4,8,19,0,1
4,0,35,0.0684932,1
4,0,36,0.0582149,1
4,1,74,0,1
4,2,74,0,1
4,3,74,0,1
4,4,74,0,1
4,5,74,0,1
4,6,74,0,1
4,7,74,0,1
4,8,74,0,1
4,1,76,0.00557952,1
4,2,76,0.0195206,1
4,3,76,0.0209171,1
4,4,76,0.0201427,1
4,5,76,0.0103037,1
4,6,76,0.00670453,1
4,7,76,0.00421398,1
4,8,76,0.00286143,1
4,1,78,0.0279177,1
4,2,78,0.113368,1
4,3,78,0.178243,1
4,4,78,0.218966,1
4,5,78,0.0972857,1
4,6,78,0.110364,1
4,7,78,0.0412228,1
4,8,78,0.0182052,1
5,1,0,30,1
5,2,0,12,1
5,3,0,34,1
5,4,0,78,1
5,5,0,114,1
5,6,0,103,1
5,7,0,105,1
5,8,0,477,1
5,1,1,8,1
5,2,1,2,1
5,3,1,9,1
5,4,1,18,1
5,5,1,49,1
5,6,1,51,1
5,7,1,62,1
5,8,1,392,1
5,1,3,6,1
5,2,3,1,1
5,3,3,7,1
5,4,3,9,1
5,5,3,32,1
5,6,3,38,1
5,7,3,44,1
5,8,3,219,1
5,1,6,11,1
5,2,6,2,1
5,3,6,9,1
5,4,6,21,1
5,5,6,68,1
5,6,6,75,1
5,7,6,105,1
5,8,6,868,1
5,1,8,7,1
5,2,8,1,1
5,3,8,7,1
5,4,8,11,1
5,5,8,43,1
5,6,8,54,1
5,7,8,63,1
5,8,8,418,1
5,1,11,0,1
5,2,11,1,1
5,3,11,1,1
5,4,11,7,1
5,5,11,8,1
5,6,11,11,1
5,7,11,6,1
5,8,11,11,1
5,1,12,0,1
5,2,12,0,1
5,3,12,0,1
5,4,12,0,1
5,5,12,1,1
5,6,12,1,1
5,7,12,0,1
5,8,12,0,1
5,1,13,0,1
5,2,13,0,1
5,3,13,0,1
5,4,13,0,1
5,5,13,0,1
5,6,13,0,1
5,7,13,0,1
5,8,13,0,1
5,1,14,4,1
5,2,14,1,1
5,3,14,4,1
5,4,14,7,1
5,5,14,20,1
5,6,14,19,1
5,7,14,16,1
5,8,14,38,1
5,1,15,0,1
5,2,15,0,1
5,3,15,0,1
5,4,15,0,1
5,5,15,0,1
5,6,15,0,1
5,7,15,0,1
5,8,15,0,1
5,1,16,0,1
5,2,16,0,1
5,3,16,0,1
5,4,16,0,1
5,5,16,0,1
5,6,16,0,1
5,7,16,0,1
5,8,16,0,1
5,1,18,0,1
5,2,18,0,1
5,3,18,0,1
5,4,18,0,1
5,5,18,0,1
5,6,18,0,1
5,7,18,0,1
5,8,18,0,1
5,1,19,0,1
5,2,19,0,1
5,3,19,0,1
5,4,19,0,1
5,5,19,0,1
5,6,19,0,1
5,7,19,0,1
5,8,19,0,1
5,0,35,0.0684932,1
5,0,36,0.0569895,1
5,1,74,0,1
5,2,74,0,1
5,3,74,0,1
5,4,74,0,1
5,5,74,0,1
5,6,74,0,1
5,7,74,0,1
5,8,74,0,1
5,1,76,0.0237385,1
5,2,76,0.00636789,1
5,3,76,0.0120767,1
5,4,76,0.0121678,1
5,5,76,0.0114854,1
5,6,76,0.00610515,1
5,7,76,0.00395056,1
5,8,76,0.00303634,1
5,1,78,0.118423,1
5,2,78,0.0460064,1
5,3,78,0.116297,1
5,4,78,0.0971073,1
5,5,78,0.124603,1
5,6,78,0.0810028,1
5,7,78,0.0367185,1
5,8,78,0.020116,1
6,1,0,28,1
6,2,0,18,1
6,3,0,27,1
6,4,0,80,1
6,5,0,119,1
6,6,0,110,1
6,7,0,102,1
6,8,0,484,1
6,1,1,6,1
6,2,1,3,1
6,3,1,6,1
6,4,1,20,1
6,5,1,50,1
6,6,1,54,1
6,7,1,59,1
6,8,1,390,1
6,1,3,3,1
6,2,3,0,1
6,3,3,4,1
6,4,3,12,1
6,5,3,31,1
6,6,3,39,1
6,7,3,44,1
6,8,3,213,1
6,1,6,6,1
6,2,6,5,1
6,3,6,8,1
6,4,6,26,1
6,5,6,75,1
6,6,6,83,1
6,7,6,94,1
6,8,6,867,1
6,1,8,3,1
6,2,8,0,1
6,3,8,5,1
6,4,8,15,1
6,5,8,44,1
6,6,8,55,1
6,7,8,64,1
6,8,8,394,1
6,1,11,1,1
6,2,11,0,1
6,3,11,3,1
6,4,11,4,1
6,5,11,6,1
6,6,11,4,1
6,7,11,8,1
6,8,11,5,1
6,1,12,0,1
6,2,12,0,1
6,3,12,0,1
6,4,12,0,1
6,5,12,0,1
6,6,12,1,1
6,7,12,0,1
6,8,12,0,1
6,1,13,0,1
6,2,13,0,1
6,3,13,0,1
6,4,13,0,1
6,5,13,0,1
6,6,13,0,1
6,7,13,0,1
6,8,13,0,1
6,1,14,4,1
6,2,14,0,1
6,3,14,5,1
6,4,14,10,1
6,5,14,19,1
6,6,14,13,1
6,7,14,18,1
6,8,14,22,1
6,1,15,0,1
6,2,15,0,1
6,3,15,1,1
6,4,15,0,1
6,5,15,0,1
6,6,15,1,1
6,7,15,0,1
6,8,15,0,1
6,1,16,0,1
6,2,16,0,1
6,3,16,0,1
6,4,16,0,1
6,5,16,0,1
6,6,16,0,1
6,7,16,0,1
6,8,16,0,1
6,1,18,0,1
6,2,18,0,1
6,3,18,0,1
6,4,18,0,1
6,5,18,0,1
6,6,18,0,1
6,7,18,0,1
6,8,18,0,1
6,1,19,0,1
6,2,19,0,1
6,3,19,0,1
6,4,19,0,1
6,5,19,0,1
6,6,19,0,1
6,7,19,0,1
6,8,19,0,1
6,0,35,0.0684932,1
6,0,36,0.0586357,1
6,1,74,0,1
6,2,74,0,1
6,3,74,0,1
6,4,74,0,1
6,5,74,0,1
6,6,74,0,1
6,7,74,0,1
6,8,74,0,1
6,1,76,0.0312484,1
6,2,76,0,1
6,3,76,0.0221005,1
6,4,76,0.0122539,1
6,5,76,0.00989331,1
6,6,76,0.00444806,1
6,7,76,0.00405044,1
6,8,76,0.00247496,1
6,1,78,0.156201,1
6,2,78,0,1
6,3,78,0.237822,1
6,4,78,0.174123,1
6,5,78,0.0925387,1
6,6,78,0.0675811,1
6,7,78,0.0372557,1
6,8,78,0.0151696,1
7,1,0,28,1
7,2,0,17,1
7,3,0,26,1
7,4,0,79,1
7,5,0,116,1
7,6,0,108,1
7,7,0,104,1
7,8,0,483,1
7,1,1,5,1
7,2,1,6,1
7,3,1,2,1
7,4,1,17,1
7,5,1,49,1
7,6,1,58,1
7,7,1,64,1
7,8,1,382,1
7,1,3,3,1
7,2,3,6,1
7,3,3,1,1
7,4,3,10,1
7,5,3,34,1
7,6,3,42,1
7,7,3,38,1
7,8,3,214,1
7,1,6,7,1
7,2,6,10,1
7,3,6,3,1
7,4,6,22,1
7,5,6,67,1
7,6,6,88,1
7,7,6,101,1
7,8,6,866,1
7,1,8,4,1
7,2,8,8,1
7,3,8,1,1
7,4,8,14,1
7,5,8,43,1
7,6,8,64,1
7,7,8,62,1
7,8,8,395,1
7,1,11,0,1
7,2,11,0,1
7,3,11,3,1
7,4,11,7,1
7,5,11,9,1
7,6,11,7,1
7,7,11,3,1
7,8,11,8,1
7,1,12,0,1
7,2,12,0,1
7,3,12,0,1
7,4,12,0,1
7,5,12,0,1
7,6,12,0,1
7,7,12,1,1
7,8,12,0,1
7,1,13,0,1
7,2,13,0,1
7,3,13,0,1
7,4,13,0,1
7,5,13,0,1
7,6,13,1,1
7,7,13,0,1
7,8,13,0,1
7,1,14,1,1
7,2,14,3,1
7,3,14,2,1
7,4,14,9,1
7,5,14,23,1
7,6,14,21,1
7,7,14,13,1
7,8,14,31,1
7,1,15,0,1
7,2,15,0,1
7,3,15,0,1
7,4,15,0,1
7,5,15,0,1
7,6,15,0,1
7,7,15,0,1
7,8,15,0,1
7,1,16,0,1
7,2,16,0,1
7,3,16,0,1
7,4,16,0,1
7,5,16,0,1
7,6,16,0,1
7,7,16,0,1
7,8,16,0,1
7,1,18,0,1
7,2,18,0,1
7,3,18,0,1
7,4,18,0,1
7,5,18,0,1
7,6,18,0,1
7,7,18,0,1
7,8,18,0,1
7,1,19,0,1
7,2,19,0,1
7,3,19,0,1
7,4,19,0,1
7,5,19,0,1
7,6,19,0,1
7,7,19,0,1
7,8,19,0,1
7,0,35,0.0684932,1
7,0,36,0.0599939,1
7,1,74,0,1
7,2,74,0,1
7,3,74,0.0979951,1
7,4,74,0,1
7,5,74,0,1
7,6,74,0.17847,1
7,7,74,0,1
7,8,74,0,1
7,1,76,0.00365859,1
7,2,76,0.0221319,1
7,3,76,0.0129182,1
7,4,76,0.0175567,1
7,5,76,0.0144342,1
7,6,76,0.00621674,1
7,7,76,0.0020843,1
7,8,76,0.00270281,1
7,1,78,0.0184178,1
7,2,78,0.145379,1
7,3,78,0.157398,1
7,4,78,0.144991,1
7,5,78,0.183784,1
7,6,78,0.0683871,1
7,7,78,0.0162028,1
7,8,78,0.0169303,1
8,1,0,29,1
8,2,0,16,1
8,3,0,26,1
8,4,0,83,1
8,5,0,117,1
8,6,0,107,1
8,7,0,108,1
8,8,0,483,1
8,1,1,4,1
8,2,1,5,1
8,3,1,2,1
8,4,1,25,1
8,5,1,43,1
8,6,1,56,1
8,7,1,72,1
8,8,1,376,1
8,1,3,4,1
8,2,3,4,1
8,3,3,2,1
8,4,3,14,1
8,5,3,28,1
8,6,3,43,1
8,7,3,45,1
8,8,3,218,1
8,1,6,5,1
8,2,6,6,1
8,3,6,3,1
8,4,6,31,1
8,5,6,60,1
8,6,6,83,1
8,7,6,112,1
8,8,6,853,1
8,1,8,5,1
8,2,8,5,1
8,3,8,3,1
8,4,8,19,1
8,5,8,33,1
8,6,8,56,1
8,7,8,62,1
8,8,8,399,1
8,1,11,0,1
8,2,11,2,1
8,3,11,1,1
8,4,11,3,1
8,5,11,6,1
8,6,11,10,1
8,7,11,1,1
8,8,11,8,1
8,1,12,0,1
8,2,12,0,1
8,3,12,0,1
8,4,12,0,1
8,5,12,0,1
8,6,12,0,1
8,7,12,0,1
8,8,12,0,1
8,1,13,0,1
8,2,13,0,1
8,3,13,0,1
8,4,13,0,1
8,5,13,0,1
8,6,13,0,1
8,7,13,0,1
8,8,13,0,1
8,1,14,2,1
8,2,14,2,1
8,3,14,2,1
8,4,14,8,1
8,5,14,17,1
8,6,14,20,1
8,7,14,11,1
8,8,14,27,1
8,1,15,0,1
8,2,15,0,1
8,3,15,0,1
8,4,15,0,1
8,5,15,0,1
8,6,15,0,1
8,7,15,0,1
8,8,15,0,1
8,1,16,0,1
8,2,16,0,1
8,3,16,0,1
8,4,16,0,1
8,5,16,0,1
8,6,16,0,1
8,7,16,0,1
8,8,16,0,1
8,1,18,0,1
8,2,18,0,1
8,3,18,0,1
8,4,18,0,1
8,5,18,0,1
8,6,18,0,1
8,7,18,0,1
8,8,18,0,1
8,1,19,0,1
8,2,19,0,1
8,3,19,0,1
8,4,19,0,1
8,5,19,0,1
8,6,19,0,1
8,7,19,0,1
8,8,19,0,1
8,0,35,0.0684932,1
8,0,36,0.0603003,1
8,1,74,0,1
8,2,74,0,1
8,3,74,0,1
8,4,74,0,1
8,5,74,0,1
8,6,74,0,1
8,7,74,0,1
8,8,74,0,1
8,1,76,0.022771,1
8,2,76,0.0123826,1
8,3,76,0.00229314,1
8,4,76,0.0109938,1
8,5,76,0.00972237,1
8,6,76,0.00598497,1
8,7,76,0.00190412,1
8,8,76,0.00250714,1
8,1,78,0.115334,1
8,2,78,0.085904,1
8,3,78,0.0154284,1
8,4,78,0.153459,1
8,5,78,0.110875,1
8,6,78,0.0753829,1
8,7,78,0.0151718,1
8,8,78,0.0164286,1
9,1,0,28,1
9,2,0,19,1
9,3,0,25,1
9,4,0,78,1
9,5,0,120,1
9,6,0,112,1
9,7,0,101,1
9,8,0,487,1
9,1,1,4,1
9,2,1,6,1
9,3,1,4,1
9,4,1,25,1
9,5,1,39,1
9,6,1,58,1
9,7,1,64,1
9,8,1,388,1
9,1,3,3,1
9,2,3,4,1
9,3,3,3,1
9,4,3,16,1
9,5,3,25,1
9,6,3,42,1
9,7,3,42,1
9,8,3,223,1
9,1,6,5,1
9,2,6,7,1
9,3,6,4,1
9,4,6,27,1
9,5,6,54,1
9,6,6,92,1
9,7,6,101,1
9,8,6,858,1
9,1,8,4,1
9,2,8,5,1
9,3,8,3,1
9,4,8,16,1
9,5,8,36,1
9,6,8,58,1
9,7,8,64,1
9,8,8,396,1
9,1,11,0,1
9,2,11,1,1
9,3,11,1,1
9,4,11,5,1
9,5,11,7,1
9,6,11,4,1
9,7,11,9,1
9,8,11,3,1
9,1,12,0,1
9,2,12,0,1
9,3,12,0,1
9,4,12,0,1
9,5,12,0,1
9,6,12,0,1
9,7,12,0,1
9,8,12,0,1
9,1,13,0,1
9,2,13,0,1
9,3,13,0,1
9,4,13,0,1
9,5,13,0,1
9,6,13,0,1
9,7,13,0,1
9,8,13,0,1
9,1,14,0,1
9,2,14,2,1
9,3,14,3,1
9,4,14,14,1
9,5,14,13,1
9,6,14,19,1
9,7,14,15,1
9,8,14,20,1
9,1,15,0,1
9,2,15,0,1
9,3,15,0,1
9,4,15,0,1
9,5,15,0,1
9,6,15,0,1
9,7,15,0,1
9,8,15,0,1
9,1,16,0,1
9,2,16,0,1
9,3,16,0,1
9,4,16,0,1
9,5,16,0,1
9,6,16,0,1
9,7,16,0,1
9,8,16,0,1
9,1,18,0,1
9,2,18,0,1
9,3,18,0,1
9,4,18,0,1
9,5,18,0,1
9,6,18,0,1
9,7,18,0,1
9,8,18,0,1
9,1,19,0,1
9,2,19,0,1
9,3,19,0,1
9,4,19,0,1
9,5,19,0,1
9,6,19,0,1
9,7,19,0,1
9,8,19,0,1
9,0,35,0.0684932,1
9,0,36,0.0606,1
9,1,74,0,1
9,2,74,0,1
9,3,74,0,1
9,4,74,0,1
9,5,74,0,1
9,6,74,0,1
9,7,74,0,1
9,8,74,0,1
9,1,76,0,1
9,2,76,0.00442333,1
9,3,76,0.0053173,1
9,4,76,0.0232138,1
9,5,76,0.00928403,1
9,6,76,0.00498621,1
9,7,76,0.00407713,1
9,8,76,0.0020893,1
9,1,78,0,1
9,2,78,0.0304189,1
9,3,78,0.0389012,1
9,4,78,0.195877,1
9,5,78,0.167474,1
9,6,78,0.0526983,1
9,7,78,0.0444214,1
9,8,78,0.0148283,1
10,1,0,28,1
10,2,0,16,1
10,3,0,25,1
10,4,0,79,1
10,5,0,124,1
10,6,0,111,1
10,7,0,109,1
10,8,0,485,1
10,1,1,3,1
10,2,1,6,1
10,3,1,3,1
10,4,1,22,1
10,5,1,47,1
10,6,1,54,1
10,7,1,69,1
10,8,1,390,1
10,1,3,3,1
10,2,3,3,1
10,3,3,2,1
10,4,3,12,1
10,5,3,28,1
10,6,3,43,1
10,7,3,42,1
10,8,3,215,1
10,1,6,4,1
10,2,6,7,1
10,3,6,4,1
10,4,6,23,1
10,5,6,62,1
10,6,6,91,1
10,7,6,111,1
10,8,6,865,1
10,1,8,4,1
10,2,8,4,1
10,3,8,2,1
10,4,8,13,1
10,5,8,36,1
10,6,8,59,1
10,7,8,59,1
10,8,8,408,1
10,1,11,1,1
10,2,11,1,1
10,3,11,0,1
10,4,11,4,1
10,5,11,4,1
10,6,11,5,1
10,7,11,2,1
10,8,11,5,1
10,1,12,0,1
10,2,12,0,1
10,3,12,0,1
10,4,12,0,1
10,5,12,0,1
10,6,12,0,1
10,7,12,0,1
10,8,12,0,1
10,1,13,0,1
10,2,13,0,1
10,3,13,1,1
10,4,13,0,1
10,5,13,0,1
10,6,13,0,1
10,7,13,0,1
10,8,13,0,1
10,1,14,2,1
10,2,14,0,1
10,3,14,0,1
10,4,14,9,1
10,5,14,12,1
10,6,14,18,1
10,7,14,15,1
10,8,14,32,1
10,1,15,0,1
10,2,15,0,1
10,3,15,1,1
10,4,15,0,1
10,5,15,0,1
10,6,15,0,1
10,7,15,0,1
10,8,15,0,1
10,1,16,0,1
10,2,16,0,1
10,3,16,0,1
10,4,16,0,1
10,5,16,0,1
10,6,16,0,1
10,7,16,0,1
10,8,16,0,1
10,1,18,0,1
10,2,18,0,1
10,3,18,0,1
10,4,18,0,1
10,5,18,0,1
10,6,18,0,1
10,7,18,0,1
10,8,18,0,1
10,1,19,0,1
10,2,19,0,1
10,3,19,0,1
10,4,19,0,1
10,5,19,0,1
10,6,19,0,1
10,7,19,0,1
10,8,19,0,1
10,0,35,0.0684932,1
10,0,36,0.0599063,1
10,1,74,0,1
10,2,74,0,1
10,3,74,0.0990806,1
10,4,74,0,1
10,5,74,0,1
10,6,74,0,1
10,7,74,0,1
10,8,74,0,1
10,1,76,0.0101087,1
10,2,76,0.00398175,1
10,3,76,0.00657122,1
10,4,76,0.013936,1
10,5,76,0.00746127,1
10,6,76,0.00711225,1
10,7,76,0.0031193,1
10,8,76,0.00248742,1
10,1,78,0.0503862,1
10,2,78,0.0389457,1
10,3,78,0.155811,1
10,4,78,0.147183,1
10,5,78,0.0856063,1
10,6,78,0.0937188,1
10,7,78,0.0323698,1
10,8,78,0.0167179,1
11,1,0,31,1
11,2,0,15,1
11,3,0,22,1
11,4,0,79,1
11,5,0,121,1
11,6,0,108,1
11,7,0,103,1
11,8,0,482,1
11,1,1,5,1
11,2,1,5,1
11,3,1,3,1
11,4,1,25,1
11,5,1,50,1
11,6,1,52,1
11,7,1,61,1
11,8,1,386,1
11,1,3,3,1
11,2,3,3,1
11,3,3,1,1
11,4,3,13,1
11,5,3,36,1
11,6,3,38,1
11,7,3,40,1
11,8,3,223,1
11,1,6,6,1
11,2,6,6,1
